ID,question,answer,relevance
741,when did thomson make the plum-pudding model,"The electrons ( as we know them today ) were thought to be positioned throughout the atom , but with many structures possible for positioning multiple electrons , particularly rotating rings of electrons ( see below ) .",0
8723,when did Emperor Justinian die,"The Syriac chronicle of John of Ephesus , which does not survive , was used as a source for later chronicles , contributing many additional details of value .",0
3121,where do cruises dock in new york city,"( As a general rule , pier numbers in Manhattan can be determined by adding 40 to the corresponding cross-street . )",0
6195,how many episodes of Lost were there,"The series was created by J. J. Abrams and Damon Lindelof , based upon an original pilot script titled Nowhere written by Jeffrey Lieber .",0
1730,who is in the group trinity 5 7,The album contained the singles `` Put Your Hands '' and `` My Body '' .,0
4538,what do UA 's detect,A `` 10-panel urine screen '' consists of the following:,0
6738,what is the difference between multistage and cluster sampling,This may be done for every element in these groups or a subsample of elements may be selected within each of these groups .,0
9362,how many xbox 360 games are there,This does not include handheld game consoles or mobile phones which generally run a completely different version of the game under the same name .,0
7538,what year did the beatles came out with the song i wan na hold your hand,`` I Want to Hold Your Hand '' became the Beatles ' best-selling single worldwide .,0
2494,who owned kansas before it became a state,Tribes in the Eastern part of the state generally lived in villages along the river valleys .,0
3000,What did the augurs use to interpret the will of the gods ?,"His main role was to interpret the will of the gods by studying the flight of birds : whether they are flying in groups or alone , what noises they make as they fly , direction of flight and what kind of birds they are .",1
7478,how does a steam engine work,"By 1883 , engines that could provide 10,000 hp had become feasible .",0
6952,what is the controlled substance act known as,The Controlled Substances Act ( CSA ) was enacted into law by the Congress of the United States as Title II of the Comprehensive Drug Abuse Prevention and Control Act of 1970 .,1
8598,What is the significance of Good Friday ?,"The holiday is observed during Holy Week as part of the Paschal Triduum on the Friday preceding Easter Sunday , and may coincide with the Jewish observance of Passover .",1
1674,where is green bay packers from,"The Bears-Packers rivalry is one of the oldest rivalries in NFL history , dating back to 1921 .",0
6176,what state is jakarta in ?,"This area has population of well over 28 million , making it one of the world 's largest conurbations in terms of number of inhabitants .",0
8146,what languages are spoken in south africa,"In South Africa , Southern Ndebele is known simply as Ndebele , as most speakers of Northern Ndebele live in Zimbabwe .",0
1392,when president nixon resigns,"After his resignation , he controversially received a pardon issued by his successor , Gerald Ford .",0
7696,what are some chinese inventions,A sophisticated economic system in China gave birth to inventions such as paper money during the Song Dynasty ( 960–1279 ) .,0
8012,Where Are Mahindra Tractors Made,Mahindra Tractor,0
9676,what is the difference between alpha lipoic acid and lipoic acid,Both RLA and R/S-LA are available as over-the-counter nutritional supplements and have been used nutritionally and clinically since the 1950s for various diseases and conditions .,0
95,when did hitler kill himself,"Front page of the U.S. Armed Forces newspaper , Stars and Stripes , 2 May 1945",0
1413,how does a cat purr,"However , using a strict definition of purring that continuous sound production must alternate between pulmonic egressive and ingressive airstream ( and usually go on for minutes ) , Peters ( 2002 ) , in an exhaustive review of the scientific literature , reached the conclusion that until then only ‘purring cats’ ( Felidae ) and two species of genets , Genetta tigrina , and most likely also Genetta genetta , had been documented to purr .",1
8403,what is reagan known for,"Reagan aimed to encourage entrepreneurship and limit the growth of social spending , as well as the reduction of regulation and inflation .",0
9012,what are the arb medications,Arbitrary unit,0
2498,who owned kansas before it became a state,"Thus , the area was a hotbed of violence and chaos in its early days as these forces collided , and was known as Bleeding Kansas .",0
4763,what creates sonic boom,"Since the source is moving faster ( with a speed ) than the sound waves it creates , it actually leads the advancing wavefront .",0
7032,what is the organic layer in an amoled screen,"Active-matrix OLEDs ( AMOLED ) require a thin-film transistor backplane to switch each individual pixel on or off , but allow for higher resolution and larger display sizes .",0
9371,Who is the highest scoring NBA player,"To qualify for the scoring title , the player must appear in at least 70 games ( out of 82 ) or have at least 1400 points .",0
6222,how many people were killed in the holocaust,"Where Germany conquered new territory in eastern Europe , specialized units called Einsatzgruppen murdered Jews and political opponents in mass shootings .",0
8587,What kind of personality test is the MBTI,Myers and Briggs extrapolated their MBTI theory from Jung 's writings in his book Psychological Types .,0
8329,what is vitamin b12 used for,"Only bacteria and archaea have the enzymes required for its synthesis , although many foods are a natural source of B12 because of bacterial symbiosis .",0
8601,What is the significance of Good Friday ?,"The estimated year of the Crucifixion is AD 33 , by two different groups , and originally as AD 34 by Isaac Newton via the differences between the Biblical and Julian calendars and the crescent of the moon .",0
7879,what is sherlock holmes job,"All but four stories are narrated by Holmes 's friend and biographer , Dr. John H. Watson ; two are narrated by Holmes himself ( `` The Blanched Soldier `` and `` The Lion 's Mane `` ) and two others are written in the third person ( `` The Mazarin Stone `` and `` His Last Bow `` ) .",0
1155,when was Pope Benedict XVI elected ?,"In that position , he was both the leader of the Catholic Church and Sovereign of the Vatican City State .",0
4523,what did st.patrick do,"When he was about 16 , he was captured from his home and taken as a slave to Ireland , where he lived for six years before escaping and returning to his family .",0
1576,where is the island New Guinea ?,"Politically , the western half of the island comprises two Indonesian provinces : Papua and West Papua .",0
6219,how many people were killed in the holocaust,The persecution and genocide were carried out in stages .,0
1143,when did pearl harbor get bombed,"However , the lack of any formal warning , particularly while negotiations were still apparently ongoing , led President Franklin D. Roosevelt to proclaim December 7 , 1941 , `` a date which will live in infamy `` .",0
8760,what year did john adams become president ?,"One of his greatest roles was as a judge of character : in 1775 , he nominated George Washington to be commander-in-chief , and 25 years later nominated John Marshall to be Chief Justice of the United States .",0
2103,Who controlled Alaska before US ?,"Approximately half of Alaska 's 731,449 residents live within the Anchorage metropolitan area .",0
4666,what date did the american civil war start,The American Civil War was one of the earliest true industrial wars .,0
9699,who makes triumph motorcycles,"Triumph ( TWN ) , a defunct German motorcycle manufacturer",0
3205,who is the CEO OF FACEBOOK,"As of April 2013 , Zuckerberg is the chairman and chief executive of Facebook , Inc. and in 2013 his personal wealth was estimated to be US $ 13 .3 billion .",1
6341,how many innings makes an official game,"The `` official game '' statistic received some attention during the 1995 season , when Cal Ripken , Jr. was approaching the record for consecutive games played , previously held by Lou Gehrig .",0
3040,who is the writer of the beowulf poem ?,"After his death , his attendants bury him in a tumulus , a burial mound , in Geatland .",0
1306,when did the civil rights movement begin,Civil rights movements ranging from the global LGBT rights movement to the global Women 's rights movement to various racial minority rights movements around the world continue .,0
414,who played the drums in the band cream back in 1968,"Cream 's biggest hits were `` I Feel Free `` ( UK , number 11 ) , `` Sunshine of Your Love `` ( US , number 5 ) , `` White Room `` ( US , number 6 ) , `` Crossroads '' ( US , number 28 ) , and `` Badge `` ( UK , number 18 ) .",0
602,when did the titanic sink,"Under the command of Edward Smith , her passengers included some of the wealthiest people in the world , as well as hundreds of emigrants from Great Britain and Ireland , Scandinavia and elsewhere throughout Europe seeking a new life in North America .",0
6771,what is sump pump used for,"If the discharge is fed to a laundry sink in the basement , it 's likely going to the sewer .",0
3523,what is a fret on a guitar,Frets usually extend across the full width of the neck .,0
6629,what is the highest mountain in america and where is is located ?,Mount McKinley ( also known as Denali taken from the Inuit Koyukon Athabaskan language meaning `` The Great One '' ) is the highest mountain peak in the United States and in North America with a summit elevation of above sea level .,0
3898,what is santa 's wife 's name,She is known for making cookies with the elves and preparing toys with her husband Santa Claus .,0
7920,how was the moon formed,"The Moon remains , under the Outer Space Treaty , free to all nations to explore for peaceful purposes .",0
6906,how old is the singer bob seger,"A roots rocker with a classic raspy , shouting voice , Seger wrote and recorded songs that dealt with love , women , blue-collar themes and was an exemplar of heartland rock .",0
5205,what countries legalize marijuana,There are also changes in a more restrictive direction as in Canada .,0
1528,Who is the husband of Betty Ford,"Pro-choice on abortion and a leader in the Women 's Movement , she gained fame as one of the most candid first ladies in history , commenting on every hot-button issue of the time , including feminism , equal pay , the ERA , sex , drugs , abortion , and gun control .",0
8883,where is Desmanthus Illinoensis found,"Desmanthus illinoensis ( commonly known as Illinois bundleflower , prairie-mimosa or prickleweed ) is a plant in many areas of the south central US .",1
668,when did the cold war start,"The Cold War and its events have left a significant legacy , and it is often referred to in popular culture , especially in media featuring themes of espionage and the threat of nuclear warfare .",0
2259,where is basque spoken,"It is spoken by 27 % of Basques in all territories ( 714,136 out of 2,648,998 ) .",0
4770,what creates sonic boom,A sonic boom is the sound associated with the shock waves created by an object traveling through the air faster than the speed of sound .,1
8331,what is vitamin b12 used for,"Vitamin B12 consists of a class of chemically related compounds ( vitamers ) , all of which have vitamin activity .",0
7874,what is sherlock holmes job,"A London-based `` consulting detective '' whose abilities border on the fantastic , Holmes is famous for his astute logical reasoning , his ability to adopt almost any disguise , and his use of forensic science skills to solve difficult cases .",1
6957,what year was gulf war,"The Gulf War ( 2 August 1990 – 28 February 1991 ) , codenamed Operation Desert Storm ( 17 January 1991 – 28 February 1991 ) was a war waged by a U.N.-authorized Coalition force from 34 nations led by the United States , against Iraq in response to Iraq 's invasion and annexation of Kuwait .",1
9713,what is gravy made of,"Gravy is a sauce , made often from the juices that run naturally from meat or vegetables during cooking .",1
8798,who discovered neptune the planet,"In retrospect , after it was discovered it turned out it had been observed many times before but not recognized , and there were others who made various calculations about its location , which did not lead to its observation .",0
6807,what is surname and given name,The western style of having both a family name ( surname ) and a given name is far from universal .,0
7273,what where the most important factors that led to the defeat of the democrates in 1968 ?,"After the 1970 census , California gained the most electoral votes and has remained the most populous state since then .",0
350,who wrote serenity prayer,The Serenity Prayer is the common name for an originally untitled prayer by the American theologian Reinhold Niebuhr ( 1892–1971 ) .,1
7399,when did thomas jefferson become president,"He designed his own large mansion on a 5,000 acre plantation near Charlottesville , Virginia , which he named Monticello .",0
7464,what does Gringo mean,"The term can be applied to someone who is actually a foreigner , or it can denote a strong association or assimilation into foreign ( particularly US ) society and culture .",1
4339,what does barefoot and pregnant mean,The phrase `` barefoot and pregnant '' was probably first used sometime before 1950 .,0
7560,what country is turkey in,Turkey is the world 's 17th largest economy by nominal GDP and the 16th largest by purchasing power parity .,0
1130,when did pearl harbor get bombed,"All eight U.S. Navy battleships were damaged , with four being sunk .",0
3077,What Is Benzene Used For,"Its molecule is composed of 6 carbon atoms joined in a ring , with 1 hydrogen atom attached to each carbon atom .",0
5275,what countries are in central america ?,"As of 2009 , its population was estimated at 41,739,000 .",0
4265,what is a contingent fee with an attorney,A conditional fee agreement between a law firm and a client .,0
1376,when president nixon resigns,"He and his wife , Pat Nixon , moved to Washington to work for the federal government in 1942 .",0
141,when was scooby doo created,", was created for Hanna-Barbera Productions by writers Joe Ruby and Ken Spears in 1969 .",0
4448,what county is san jose in ?,San Jose then continued its aggressive expansion during the 1950s and 1960s by annexing more land area .,0
8110,how many people live in atlanta georgia,"Atlanta is the county seat of Fulton County , and a small portion of the city extends eastward into DeKalb County .",0
4869,what can silk be used for,"Silk is a natural protein fibre , some forms of which can be woven into textiles .",1
5999,how many countries have english as an official language,See Official languages of India .,0
6233,what president made decision to buy louisiana,The purchase of the territory of Louisiana took place during the presidency of Thomas Jefferson .,1
4570,what do biologists do,A biologist is a scientist who studies living organisms and their relationship to their environment .,1
9667,what is stepwise linear regression,"For additional consideration , when planning an experiment , computer simulation , or scientific survey to collect data for this model , one must keep in mind the number of parameters , P , to estimate and adjust the sample size accordingly .",0
9453,what mountains are on appalachian trail,"The majority of the trail is in wilderness , although some portions traverse towns , roads and cross rivers .",0
5849,how many albums has eminem sold in his career,"He has also made cameo appearances in The Wash ( 2001 ) , Funny People ( 2009 ) and the television series Entourage .",0
106,who plays mary poppins in the movie,"Mary Poppins is a 1964 musical film starring Julie Andrews , Dick Van Dyke , David Tomlinson , and Glynis Johns , produced by Walt Disney , and based on the Mary Poppins books series by P. L. Travers .",1
3240,how fire extinguisher works,"In stored pressure units , the expellant is stored in the same chamber as the firefighting agent itself .",0
4444,what county is san jose in ?,The city served as a farming community to support Spanish military installations at San Francisco and Monterey .,0
5448,what triggered the civil war,"The autumn 1862 Confederate campaign into Maryland ( a Union state ) ended with Confederate retreat at the Battle of Antietam , dissuading British intervention .",0
7211,what was the date of pearl harbor,"Subsequent operations by the U.S. prompted Germany and Italy to declare war on the U.S. on December 11 , which was reciprocated by the U.S. the same day .",0
496,when did classification of races begin,"First used to denote national affiliations , the term began to be used to relate to physical traits in the 17th century .",1
1214,when did secretariat win,"In 1999 , ESPN ranked Secretariat the 35th best athlete of the 20th century , the highest ranking racehorse on the list URL_http .",0
3760,what is melissa and joey about,Melissa & Joey is an ABC Family original television series starring Melissa Joan Hart and Joey Lawrence .,0
937,when did world war 2 end,"It was the most widespread war in history , with more than 100 million people serving in military units from over 30 different countries .",0
2199,When was the first Mary Poppins book written,The later five books recount previously unrecorded adventures from her original three visits .,0
8510,what are the characteristics of an ethnic group,"Ethnicity can , but does not have to , include common ancestry , appearance , cuisine , dressing style , heritage , history , language or dialect , religion , symbols , traditions , or other cultural factor .",1
6762,what is sump pump used for,"A sump pump is a pump used to remove water that has accumulated in a water collecting sump basin , commonly found in the basement of homes .",1
2771,when was the state of utah established,"Utah is the 13th-largest , the 34th-most populous , and the 10th-least-densely populated of the 50 United States .",0
7228,what is the name for an old horse-drawn vehicle,"Carriages normally have suspension using leaf springs , elliptical springs ( in the 19th century ) or leather strapping .",0
7688,what is extreme right wing,The centre right—unlike the far right—claims that people can end their behavioural inferiority through changing their habits and choices .,0
6189,what state is pike 's peak in ?,"There are hiking trails , campgrounds and RV facilities .",0
7506,what does the family leave act,The Family and Medical Leave Act of 1993 ( FMLA ) is a United States federal law requiring covered employers to provide employees job-protected and unpaid leave for qualified medical and family reasons .,1
1629,What is motorcycle speedway racing,"Motorcycle speedway , usually referred to as speedway , is a motorcycle sport involving four and sometimes up to six riders competing over four anti-clockwise laps of an oval circuit .",1
4838,what caused ww,"Some of the most important long term or structural causes are : the growth of nationalism across Europe , unresolved territorial disputes , an intricate system of alliances , the perceived breakdown of the balance of power in Europe , convoluted and fragmented governance , the arms races of the previous decades , previous military planning , imperial and colonial rivalry for wealth , power and prestige , and economic and military rivalry in industry and trade – e.g. , the Pig War between Austria and Serbia .",0
5783,how many US soldiers killed in Iraq war,"For troops in the U.S.-led multinational coalition , the death toll is carefully tracked and updated daily , and the names and photographs of those killed in action as well as in accidents have been published widely .",0
4876,what can silk be used for,"Silk production also occurs in Hymenoptera ( bees , wasps , and ants ) , silverfish , mayflies , thrips , leafhoppers , beetles , lacewings , fleas , flies and midges .",0
1110,who rules communism government,"Technically , `` communist state '' is a contradictio in terminis as a communist society as defined by both Marxists and anarcho-communists is in principle stateless .",0
7705,what are some chinese inventions,"For the purposes of this list , inventions are regarded as technological firsts developed in China , and as such does not include foreign technologies which the Chinese acquired through contact , such as the windmill from the Middle East or the telescope from Early modern Europe .",0
1075,how does sedimentary rock form,"The study of the sequence of sedimentary rock strata is the main source for scientific knowledge about the Earth 's history , including palaeogeography , paleoclimatology and the history of life .",0
4942,what happened to stevie ray vaughan,His guitar playing reflected the classic blues and pentatonic scales .,0
4077,what are social security taxes,"According to economist Martin Feldstein , the combined spending for all social insurance programs in 2003 constituted 37 % of government expenditure and 7 % of the gross domestic product .",0
9181,How Works Diaphragm Pump,"A diaphragm pump ( also known as a Membrane pump , Air Operated Double Diaphragm Pump ( AODD ) or Pneumatic Diaphragm Pump ) is a positive displacement pump that uses a combination of the reciprocating action of a rubber , thermoplastic or teflon diaphragm and suitable valves either side of the diaphragm ( check valve , butterfly valves , flap valves , or any other form of shut-off valves ) to pump a fluid .",1
5371,how many students go to santa barbara,UCSB was the No . 3 host on the ARPAnet and was elected to the Association of American Universities in 1995 .,0
132,WHERE WAS JOHN WAYNE BORN,"His first leading role came in the widescreen epic The Big Trail ( 1930 ) , which led to leading roles in numerous films throughout the 1930s , many of them in the western genre .",0
6618,what is the gdp for greenland 2010 ?,"The Economy of Greenland can be characterized as small , mixed and vulnerable .",0
7232,what is the singer Stevie Wonders full name,"Blind since shortly after birth , Wonder signed with Motown 's Tamla label at the age of eleven , and continues to perform and record for Motown to this day .",0
2628,when was the constitution written,A constitution is a set of fundamental principles or established precedents according to which a state or other organization is governed .,0
7105,what is the origin of fiona,Fiona was the 49th most popular name for baby girls born in 2008 in Germany .,0
6061,what school did oprah winfrey help,The academy was founded by Oprah Winfrey with the goal of providing educational and leadership opportunities for academically gifted girls from impoverished backgrounds .,0
5806,what is tofu made of,It spread into other parts of East Asia as well .,0
5393,what type of batteries are 357 ( LR44 ),Performance of a device meant to use a silver-oxide battery may be degraded with substitution of LR44 types .,0
5412,what two empires fought to control afghanistan,"The political history of the modern state of Afghanistan begins in 1709 , when the Hotaki dynasty was established in Kandahar followed by Ahmad Shah Durrani 's rise to power in 1747 .",0
7957,what are american people of japanese descent called,"In the 2010 census , the largest Japanese American communities were found in California with 272,528 , Hawaii with 185,502 , New York with 37,780 , Washington with 35,008 , and Illinois with 17,542 .",0
8827,where is scotty mccreery from,"He also released a Christmas album , Christmas with Scotty McCreery , which has been certified gold .",0
6354,what part of beef are rouladen cut from ?,The mixture varies from region to region .,0
1196,how do you know if something is the golden ratio,"A golden rectangle with longer side a and shorter side b , when placed adjacent to a square with sides of length a , will produce a similar golden rectangle with longer side a + b and shorter side a .",0
7738,where did the early humans live ?,"According to the Recent African Ancestry theory , modern humans evolved in Africa possibly from Homo heidelbergensis , Homo rhodesiensis or Homo antecessor and migrated out of the continent some 50,000 to 100,000 years ago , replacing local populations of Homo erectus , Homo denisova , Homo floresiensis and Homo neanderthalensis .",1
4603,what day is the feast of st joseph 's ?,"Pope St. Pius V extended its use to the entire Roman Rite by his Apostolic Constitution Quo Primum ( July 14 , 1570 ) .",0
7797,when slavery abolished,"In the earliest era of chattel slavery , the colonies also organized work by a system of bonded labor known as indentured servitude .",0
1817,Who invented egg rolls,This is a type of biscuit .,0
4020,what are four thirds cameras,"The size of the sensor is significantly smaller than for most DSLRs and this implies that lenses , especially telephoto lenses , can be smaller .",0
5796,how many schools are in the big ten,"In 2014 , the conference will expand to 14 members with the additions of the University of Maryland , College Park and Rutgers , The State University of New Jersey .",0
1609,who is ezekiel in the bible,"It derives its name from , and records the visions of , the 6th century BC priest and prophet Ezekiel .",0
584,when did the word fuck begin,"It is an English word that is often used as a profanity , either to denote disdain or as an intensifier .",0
1814,Who invented egg rolls,"2__Egg_roll __ Varieties of egg rolls are found in mainland China , many Chinese-speaking regions of Asia , and Chinese immigrant communities around the world .",1
5233,what countries are under the buddhism religion,"This is the predominant form of Buddhism practiced in Cambodia , Thailand , Laos , Sri Lanka , and Burma .",0
3293,what is auto quarter panel,"The quarter panel is typically made of Sheet metal , but is sometimes made of fiberglass or fiber-reinforced plastic ; although , this varies with different makes and models .",0
2624,when was the battle at tombstone fought,About thirty shots were fired in thirty seconds .,0
1223,when did the civil war start and where,"The American Civil War ( ACW ) , also known as the War between the States or simply the Civil War ( see naming ) , was a civil war fought from 1861 to 1865 between the United States ( the `` Union '' or the `` North '' ) and several Southern slave states that declared their secession and formed the Confederate States of America ( the `` Confederacy '' or the `` South '' ) .",1
9443,what motor does a 2001 monte carlo,"The later rear-wheel-drive generations bucked the trend of unit-body construction , along with smaller engines , that became more prevalent in the early 1980s as automakers downsized their vehicle lines to meet increasing stringent fuel-economy regulations in the aftermath of two energy crises that led to gasoline shortages and skyrocketing pump prices in 1973-74 and 1979-80 .",0
907,when does the electoral college votes,"Instead , they are elected by `` electors '' who are chosen by popular vote on a state-by-state basis .",0
6764,what is sump pump used for,Sump pumps are used where basement flooding happens regularly and to remedy dampness where the water table is above the foundation of a home .,0
6007,how many games did brett favre start in a row,"Favre is the only quarterback in NFL history to throw for over 70,000 yards , over 500 touchdowns , over 300 interceptions , over 6,000 completions , and over 10,000 pass attempts .",0
3556,what is a gsm cell phone,The GSM logo is used to identify compatible handsets and equipment,0
8591,What kind of personality test is the MBTI,One of these four functions is dominant most of the time .,0
2041,who built the globe,"It was built in 1599 by Shakespeare 's playing company , the Lord Chamberlain 's Men , on land owned by Thomas Brend and inherited by his son , Nicholas Brend and grandson Sir Matthew Brend , and was destroyed by fire on 29 June 1613 .",1
5387,what type of batteries are 357 ( LR44 ),"1128MP , 208-904 , A-76 , CA18 , CA19 , CR44 , D76A , KA , KA76 , MS76H , PX76A , PX675A , RPX675 , RW82 , SB-F9 , V13GA",0
2475,how did anne frank die,Her diary has been the basis for several plays and films .,0
8094,what is a discipline of study,"However , there exists no formal criteria for when educational programs and scholarly journals form an academic discipline .",0
3300,what is black hairy tongue disease,"Management is by improving oral hygiene , especially scraping or brushing the tongue .",0
6028,what state was the civil war in,The Confederates assumed that European countries were so dependent on `` King Cotton `` that they would intervene ; none did and none recognized the new Confederate States of America .,0
2010,who created bing,"On July 29 , 2009 , Microsoft and Yahoo ! announced a deal in which Bing would power Yahoo ! Search .",0
5028,what is a bus adapter in a computer ?,"However , devices for connecting to IDE , Ethernet , FireWire , USB and other systems may also be called host adapters .",0
5349,what is squash the sport,The players must alternate in striking the ball with their racquet and hit the ball onto the playable surfaces of the four walls of the court .,0
8013,Where Are Mahindra Tractors Made,"Mahindra Tractors , the farm equipment division of Mahindra & Mahindra , builds and sources tractors that are sold worldwide across six continents .",0
1506,"where is shropshire , uk","Shropshire ( or ; alternatively Salop ; abbreviated , in print only , Shrops ) is a county in the West Midlands region of England .",1
3115,where did world war 1 start,The map of central Europe was redrawn into several smaller states .,0
8079,who is shem in the bible,"However , the New American Standard Bible gives , `` Also to Shem , the father of all the children of Eber , and the older brother of Japheth , children were born . ''",0
8354,what are use taxes ?,Use Tax is generally charged at the same tax rate of Sales Tax but in some states the tax rate is different .,0
1774,What is hydrogen in,"At standard temperature and pressure , hydrogen is a colorless , odorless , tasteless , non-toxic , nonmetallic , highly combustible diatomic gas with the molecular formula H2 .",0
6166,what state is area code 419,"The largest city served by these area codes is Toledo ( and its suburbs of Holland , Maumee , Northwood , Oregon , Ottawa Hills , Perrysburg , Rossford , Sylvania , Swanton , Waterville , and Whitehouse ) .",0
6842,how old were the twin towers when destroyed,"On the morning of September 11 , 2001 , Al-Qaeda -affiliated hijackers flew two Boeing 767 jets into the complex , one into each tower , in a coordinated terrorist attack .",0
4459,what county is willmar mn in ?,Willmar has been assigned ZIP code 56201 by the United States Postal Service .,0
3312,what is bourbon made of,"The name of the spirit derives from its historical association with an area known as Old Bourbon , around what is now Bourbon County , Kentucky ( which , in turn , was named after the French House of Bourbon royal family ) .",0
2865,where does cellular respiration occur,"The energy stored in ATP ( its third phosphate group is weakly bonded to the rest of the molecule and is cheaply broken allowing stronger bonds to form , thereby transferring energy for use by the cell ) can then be used to drive processes requiring energy , including biosynthesis , locomotion or transportation of molecules across cell membranes .",0
2537,when was washington elected president,"He retired from the presidency in 1797 and returned to his home , Mount Vernon , and his domestic life where he managed a variety of enterprises .",0
8427,where is testosterone produced,These ubiquitous steroids suggest that sex hormones have an ancient evolutionary history .,0
6258,what month is the president inaugurated,"When George Washington was inaugurated , the oath was administered by Robert Livingston , Chancellor of New York State , in 1789 , and by William Cushing , Associate Justice of the Supreme Court , in 1793 .",0
3478,what is an assist in basketball,An assist can be scored for the passer even if the player who receives the pass makes a basket after dribbling the ball .,0
6215,how many people were killed in the holocaust,"Over one million Jewish children were killed in the Holocaust , as were approximately two million Jewish women and three million Jewish men .",1
9300,how many nature oceans are on earth,"Because it is the principal component of Earth 's hydrosphere , the world ocean is integral to all known life , forms part of the carbon cycle , and influences climate and weather patterns .",0
1537,where is the chupacabra found,"The Chupacabra or Chupacabras ( , from chupar `` to suck '' and cabra `` goat '' , literally `` goat sucker '' ) is a legendary cryptid rumored to inhabit parts of the Americas .",1
4505,what did sparta do around 650 bc,"Sparta ( Doric Greek : ; Attic Greek : ) , or Lacedaemon , was a prominent city-state in ancient Greece , situated on the banks of the Eurotas River in Laconia , in south-eastern Peloponnese .",0
5674,what war led to Pearl Harbor,Planning had been underway for some time on an attack on the `` Southern Resource Area '' to add it to the Greater East Asia Co-Prosperity Sphere that Japan envisioned in the Pacific .,0
7296,how is root beer made ?,"Root beer , popularized in North America , comes in two forms : alcoholic and soft drink .",0
9745,when did george washington died ?,"At his death , Washington was eulogized as `` first in war , first in peace , and first in the hearts of his countrymen '' by Henry Lee .",0
2463,who killed general warren in bunker hill,"Warren participated in the next day 's Battles of Lexington and Concord , which are commonly considered to be the opening engagements of the American Revolutionary War .",0
7476,how does a steam engine work,These 10 hp engines enabled a wide range of manufacturing machinery to be powered .,0
9523,what separates me from you album,It reached number 12 on US Alternative Songs and number 25 on Rock Songs .,0
7629,what makes a dwarf planet,"The only two such objects known at the time , Makemake and Haumea , went through this naming procedure and were declared to be dwarf planets .",0
8565,what does life insurance cover ?,Life-based contracts tend to fall into two major categories:,0
2250,how are aircraft radial engines built,Radial engine of a biplane,0
6058,what role do ombudsman play in the swedish government ?,Sign at Georgetown University Washington DC,0
8904,where is david ortiz from,He is one of 50 MLB players in history to hit at least 400 career home runs .,0
93,when did lucy stone died,Elizabeth Cady Stanton wrote that `` Lucy Stone was the first person by whom the heart of the American public was deeply stirred on the woman question . '',0
1905,who did john f kennedy run against ?,Kennedy defeated Vice President and Republican candidate Richard Nixon in the 1960 U.S. presidential election .,1
2811,how deep can be drill for deep underwater,"Some units are converted into production rigs , meaning they switch from drilling for oil to capturing oil once it 's found .",0
1534,where is the Rhine river located on a map,It has also served as a defensive feature and has been the basis for regional and international borders .,0
262,how does weather happen,"Thunderstorm near Garajau , Madeira",0
8585,how does lsd impact the human body,"Currently , a number of organizations—including the Beckley Foundation , MAPS , Heffter Research Institute and the Albert Hofmann Foundation—exist to fund , encourage and coordinate research into the medicinal and spiritual uses of LSD and related psychedelics .",0
